key;ID;speciesStrain;speciesStrainComp;genus;genusComp;species;speciesComp;strain;cultureNo;typeStrain;misclassified;gram;oxygen;substrate;genomeAccNo;usedAccNo;ncbiFTP_FAA
1;592010;Abiotrophia defectiva ATCC 49176;abiotrophiadefectivaatcc49176;Abiotrophia;abiotrophia;Abiotrophia defectiva;abiotrophiadefectiva;ATCC 49176;;;;positive;facultative;;GCA_000160075|GCA_013267415|46125.34|46125.35|GCA_015259635|592010.4|46125.36|GCA_916438635|GCA_905373775|2562617177;GCA_000160075;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/075/GCA_000160075.2_ASM16007v2/GCA_000160075.2_ASM16007v2_protein.faa.gz
1;219;Abiotrophia defectiva DSM 9849;abiotrophiadefectivadsm9849;Abiotrophia;abiotrophia;Abiotrophia defectiva;abiotrophiadefectiva;DSM 9849;DSM 9849|ATCC 49176|CIP 103242|SC 10;yes;;;anaerobic;alpha-cyclodextrin|arginine|D-arabitol|D-mannitol|D-ribose|glycogen|hippurate|L-arabinose|L-glutamate|melezitose|melibiose|methyl beta-D-glucopyranoside|nitrate|raffinose|sorbitol|tryptophan|urea;GCA_000160075|GCA_013267415|46125.34|46125.35|GCA_015259635|592010.4|46125.36|GCA_916438635|GCA_905373775|2562617177;GCA_000160075;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/075/GCA_000160075.2_ASM16007v2/GCA_000160075.2_ASM16007v2_protein.faa.gz
2;159837;Abyssibacter profundi OUC007;abyssibacterprofundiouc007;Abyssibacter;abyssibacter;Abyssibacter profundi;abyssibacterprofundi;OUC007;KCTC 52933|MCCC 1K03450|JCM 32025;yes;;;aerobic;2-oxopentanoate|4-hydroxybutyrate|adipate|alginate|alpha-cyclodextrin|amygdalin|arbutin|beta-hydroxybutyrate|casein|cellobiose|cellulose|chitin|cis-aconitate|D-arabinose|D-arabitol|decanoate|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|dna|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin ferric citrate|galactitol|gelatin|gentiobiose|glycerol|glycogen|inulin|lactose|L-alaninamide|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|malate|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|methyl pyruvate|monomethyl succinate|myo-inositol|N-acetylglucosamine|phenylacetate|potassium 2-dehydro-D-gluconate|potassium 5-dehydro-D-gluconate|potassium gluconate|raffinose|ribitol|salicin|sodium citrate|starch|sucrose|trehalose|turanose|tween 20|tween 40|tween 80|xylitol;GCA_003151135|2831460164|QEQK00000000|2182787.3;GCA_003151135;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/135/GCA_003151135.1_ASM315113v1/GCA_003151135.1_ASM315113v1_protein.faa.gz
3;;Acanthopleuribacter pedis FYK2218;acanthopleuribacterpedisfyk2218;Acanthopleuribacter;acanthopleuribacter;Acanthopleuribacter pedis;acanthopleuribacterpedis;FYK2218;;;;negative;aerobic;adipate|alanine|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|glucose|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|serine|threonine|tryptophan|urea;GCA_017377855|442870.4;GCA_017377855;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/377/855/GCA_017377855.1_ASM1737785v1/GCA_017377855.1_ASM1737785v1_protein.faa.gz
4;258515;Acetanaerobacterium elongatum Z7;acetanaerobacteriumelongatumz7;Acetanaerobacterium;acetanaerobacterium;Acetanaerobacterium elongatum;acetanaerobacteriumelongatum;Z7;;;;positive;anaerobic;arabinose|cellobiose|esculin|fructose|galactose|glucose|maltose|raffinose|salicin|sucrose|xylose;258515.18|GCA_900103835|2667527408;GCA_900103835;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/103/835/GCA_900103835.1_IMG-taxon_2667527408_annotated_assembly/GCA_900103835.1_IMG-taxon_2667527408_annotated_assembly_protein.faa.gz
5;164491;Acetilactobacillus jinshanensis HSLZ-75;acetilactobacillusjinshanensishslz75;Acetilactobacillus;acetilactobacillus;Acetilactobacillus jinshanensis;acetilactobacillusjinshanensis;HSLZ-75;JCM 33270|CICC 6269;yes;;;facultative;cellobiose|D-glucose|erythritol|gentiobiose|glucose|lactose|maltose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|salicin|xylitol;GCA_004359375|2870197841|1720083.4|CP034726;GCA_004359375;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/359/375/GCA_004359375.1_ASM435937v1/GCA_004359375.1_ASM435937v1_protein.faa.gz
6;6338;Acetitomaculum ruminis 12185, 139 B;acetitomaculumruminis12185139b;Acetitomaculum;acetitomaculum;Acetitomaculum ruminis;acetitomaculumruminis;12185, 139 B;DSM 5522|ATCC 43876;yes;;;anaerobic;amygdalin|melibiose|sucrose;1120918.3|GCA_900112085|2651870361;GCA_900112085;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/112/085/GCA_900112085.1_IMG-taxon_2651870361_annotated_assembly/GCA_900112085.1_IMG-taxon_2651870361_annotated_assembly_protein.faa.gz
7;2853;Acetivibrio clariflavus EBR-02E-0045;acetivibrioclariflavusebr02e0045;Acetivibrio;acetivibrio;Acetivibrio clariflavus;acetivibrioclariflavus;EBR-02E-0045;DSM 19732|NBRC 101661|EBR 45;yes;;;anaerobic;amygdalin|arabinose|casein|cellobiose|cellulose|erythritol|esculin|fructose|galactitol|galactose|gelatin|glucose|glycerol|glycogen|inulin|lactose|maltose|mannitol|mannose|melezitose|melibiose|myo-inositol|nitrate|raffinose|rhamnose|ribitol|ribose|salicin|sorbitol|sorbose|starch|sucrose|sulfate|trehalose|xylitol|xylose;GCA_000237085|720554.3|288965.3|2596583699|2507262051;GCA_000237085;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/085/GCA_000237085.1_ASM23708v1/GCA_000237085.1_ASM23708v1_protein.faa.gz
8;290052;Acetivibrio ethanolgignens 77-6;acetivibrioethanolgignens776;Acetivibrio;acetivibrio;Acetivibrio ethanolgignens;acetivibrioethanolgignens;77-6;;;;positive;anaerobic;;GCA_001461035;GCA_001461035;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/461/035/GCA_001461035.1_ASM146103v1/GCA_001461035.1_ASM146103v1_protein.faa.gz
9;157972;Acetivibrio mesophilus N2K1;acetivibriomesophilusn2k1;Acetivibrio;acetivibrio;Acetivibrio mesophilus;acetivibriomesophilus;N2K1;DSM 107956|CECT 9704;yes;;;anaerobic;arabinose|cellobiose|cellulose|fructose|glucose|lactose|mannitol|mannose|ribose|starch|sucrose|trehalose|xylan|xylose;GCA_004102745|2487273.3|2880951795|RLII00000000;GCA_004102745;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/102/745/GCA_004102745.1_ASM410274v1/GCA_004102745.1_ASM410274v1_protein.faa.gz
